Date,N Hot Pixel,meanTI,maxTI,maxDist,maxDist Summit,N Hot Pixel Summit,N Cluster
10-Jan-2018 15:07:02,0,NaN,NaN,NaN,NaN,0,0
15-Jan-2018 14:57:17,0,NaN,NaN,NaN,NaN,0,0
20-Jan-2018 15:00:30,0,NaN,NaN,NaN,NaN,0,0
25-Jan-2018 15:04:09,9,0.326066666666667,0.4914,250.599281722833,250.599281722833,9,1
30-Jan-2018 15:07:06,0,NaN,NaN,NaN,NaN,0,0
04-Feb-2018 15:05:54,0,NaN,NaN,NaN,NaN,0,0
09-Feb-2018 15:03:25,0,NaN,NaN,NaN,NaN,0,0
14-Feb-2018 15:04:09,0,NaN,NaN,NaN,NaN,0,0
19-Feb-2018 15:04:13,9,0.808344444444444,1.1016,170.880074906351,170.880074906351,9,1
24-Feb-2018 14:57:35,0,NaN,NaN,NaN,NaN,0,0
01-Mar-2018 15:05:25,0,NaN,NaN,NaN,NaN,0,0
11-Mar-2018 15:01:19,0,NaN,NaN,NaN,NaN,0,0
16-Mar-2018 15:05:29,0,NaN,NaN,NaN,NaN,0,0
21-Mar-2018 15:03:08,2,1.09585,1.2668,170.880074906351,170.880074906351,2,1
26-Mar-2018 15:05:31,4,1.24095,1.8587,161.245154965971,161.245154965971,4,1
31-Mar-2018 15:00:39,4,0.4269,0.4987,152.315462117278,152.315462117278,4,2
05-Apr-2018 15:02:00,14,0.899471428571429,1.5776,228.035085019828,228.035085019828,14,2
10-Apr-2018 15:00:08,3,0.889266666666667,0.9892,161.245154965971,161.245154965971,3,1
15-Apr-2018 15:05:34,108,1.24972037037037,2.1149,181.107702762748,181.107702762748,108,1
20-Apr-2018 15:02:12,57,1.24977719298246,1.8151,260,260,57,1
25-Apr-2018 14:57:24,0,NaN,NaN,NaN,NaN,0,0
30-Apr-2018 14:59:56,13,1.85500769230769,2.1854,188.679622641132,188.679622641132,13,1
05-May-2018 15:03:46,21,1.01927142857143,2.2408,240.831891575846,240.831891575846,21,2
10-May-2018 15:01:12,36,0.563652777777778,0.9147,240.831891575846,240.831891575846,36,2
15-May-2018 15:02:44,23,1.09502173913043,1.6589,216.333076527839,216.333076527839,23,1
20-May-2018 15:02:12,31,1.88875806451613,2.6142,234.093998214393,234.093998214393,31,1
25-May-2018 15:05:36,11,1.11646363636364,2.2843,260,260,11,3
30-May-2018 14:57:26,32,1.5921875,2.4201,240.831891575846,240.831891575846,32,2
04-Jun-2018 15:02:25,0,NaN,NaN,NaN,NaN,0,0
09-Jun-2018 15:02:10,0,NaN,NaN,NaN,NaN,0,0
14-Jun-2018 15:04:43,0,NaN,NaN,NaN,NaN,0,0
19-Jun-2018 15:02:21,65,1.04385076923077,1.8506,277.848879788996,277.848879788996,65,1
24-Jun-2018 15:00:21,32,1.78409375,2.4136,268.328157299975,268.328157299975,32,2
29-Jun-2018 15:03:52,38,1.56923157894737,2.5109,277.848879788996,277.848879788996,38,2
04-Jul-2018 15:01:08,34,1.71600588235294,2.389,268.328157299975,268.328157299975,34,3
09-Jul-2018 15:01:39,0,NaN,NaN,NaN,NaN,0,0
19-Jul-2018 15:00:16,0,NaN,NaN,NaN,NaN,0,0
24-Jul-2018 14:59:51,18,0.956922222222222,1.7977,263.058928759318,263.058928759318,18,4
03-Aug-2018 14:59:45,0,NaN,NaN,NaN,NaN,0,0
08-Aug-2018 15:02:03,32,1.5914125,2.2819,233.238075793812,233.238075793812,32,1
